scenario_uid,source,split,topology_tag,route_length_m,corridor_m,corridor_share_of_route,corridor_channel_units,corridor_offset_m,entry_gap_m,gate_length_m,corridor_lane_types,fold_needs_planar_m,fold_jump_channel_units,reach_covers_fold
waymo:training_20s:ea23c0e77fcb953c,waymo,train,intersection,150.46,15.0,0.0997,6.75,-10.976,0.3961,11.66,LANE_SURFACE_STREET,150.18,66.58,False
waymo:training_20s:5d46a96f9ea9bbe9,waymo,test,intersection,14.82,14.8,0.9986,6.66,-15.829,1.4919,10.39,LANE_SURFACE_STREET,14.6,5.57,True
waymo:training_20s:fbc5574c5b65b3d6,waymo,test,intersection,14.58,14.52,0.9959,6.53,-8.672,1.8018,71.34,LANE_SURFACE_STREET,14.19,5.39,True
waymo:training_20s:64df81b106e8788f,waymo,validation,merge_or_roundabout,14.06,14.05,0.9987,6.32,-11.604,1.4298,16.43,LANE_SURFACE_STREET,13.68,5.16,True
pg:scenarionet_v1:PGMap-19921245,pg,train,merge_or_roundabout,264.01,14.0,0.053,6.3,-11.345,0.0379,9.19,LANE_SURFACE_STREET,197.47,117.08,False
waymo:training_20s:827e40cd44576c84,waymo,train,intersection,21.53,14.0,0.6503,6.3,-18.382,0.0777,34.55,LANE_SURFACE_STREET,21.21,8.55,True
waymo:training_20s:32ec19df6045b8e8,waymo,validation,intersection,13.88,13.85,0.9982,6.23,-7.924,1.2305,104.97,LANE_SURFACE_STREET,13.68,5.16,True
waymo:training_20s:59534aabcb437439,waymo,test,intersection,13.52,13.48,0.997,6.07,-12.426,1.8148,14.84,LANE_SURFACE_STREET,13.27,4.97,True
waymo:training_20s:415d15786f4780c0,waymo,test,intersection,13.48,13.46,0.9982,6.06,-8.486,1.4249,10.72,LANE_SURFACE_STREET,13.3,4.99,True
waymo:training_20s:7e30f87a5c6fded5,waymo,train,intersection,19.44,13.0,0.6686,5.85,-17.228,0.0921,32.68,LANE_SURFACE_STREET,19.3,7.69,True
waymo:training_20s:6300655bd290e39b,waymo,train,intersection,12.8,12.78,0.9986,5.75,7.704,1.4435,3.28,LANE_SURFACE_STREET,12.67,4.7,True
waymo:training_20s:64057bf5c347fe65,waymo,train,intersection,12.59,12.6,1.0006,5.67,-15.086,1.2359,6.49,LANE_SURFACE_STREET,12.43,4.59,True
waymo:training_20s:39f326f2b4c3c3a,waymo,train,intersection,12.6,12.56,0.9968,5.65,6.951,0.05,6.85,LANE_SURFACE_STREET,12.44,4.6,True
waymo:training_20s:4ed8563620d78536,waymo,test,intersection,12.54,12.5,0.997,5.63,-12.059,1.4182,10.73,LANE_SURFACE_STREET,12.03,4.41,True
waymo:training_20s:5716af503e89250f,waymo,train,simple,12.46,12.41,0.9961,5.59,-8.456,1.6844,14.96,LANE_SURFACE_STREET,12.27,4.52,True
waymo:training_20s:e5f6e55de094caab,waymo,train,intersection,12.19,12.15,0.9966,5.47,-3.858,0.0965,3.83,LANE_SURFACE_STREET,11.75,4.29,False
waymo:training_20s:1a39039a0953a318,waymo,test,intersection,41.41,12.0,0.2898,5.4,-8.747,1.8339,12.7,LANE_SURFACE_STREET,41.23,17.55,False
waymo:training_20s:4e2f5a22454b529e,waymo,train,intersection,52.78,12.0,0.2274,5.4,40.35,1.4577,48.66,LANE_SURFACE_STREET,52.21,22.51,True
waymo:training_20s:9557cb00f580b12c,waymo,train,intersection,13.01,12.0,0.9224,5.4,-15.446,0.0944,31.78,LANE_SURFACE_STREET,12.57,4.66,True
waymo:training_20s:d0e476bfea958b7f,waymo,train,intersection,11.79,11.74,0.9956,5.28,-4.951,1.5038,95.73,LANE_SURFACE_STREET,11.38,4.12,True
waymo:training_20s:90d0d176d789e905,waymo,train,intersection,11.71,11.69,0.9988,5.26,11.553,0.783,17.52,LANE_SURFACE_STREET,11.64,4.24,True
waymo:training_20s:bf74ed6eb08c6078,waymo,train,merge_or_roundabout,11.44,11.38,0.9944,5.12,-7.163,0.0331,37.25,LANE_SURFACE_STREET,10.91,3.91,True
waymo:training_20s:42cbc07b6bfd3d00,waymo,validation,intersection,11.39,11.37,0.9987,5.12,-7.587,0.8891,9.86,LANE_SURFACE_STREET,11.2,4.04,True
waymo:training_20s:d5b26fea3b65b2df,waymo,train,simple,11.35,11.3,0.9953,5.08,-12.174,1.4676,10.74,LANE_SURFACE_STREET,11.23,4.05,True
waymo:training_20s:b0268ecd629c4914,waymo,train,intersection,11.14,11.05,0.9925,4.97,-12.057,1.7799,105.74,LANE_SURFACE_STREET,10.96,3.93,True
waymo:training_20s:dc37501d655a357e,waymo,test,simple,43.26,11.0,0.2543,4.95,36.008,0.7948,15.15,LANE_FREEWAY,43.1,18.39,True
waymo:training_20s:98e9d12fc5e0f936,waymo,test,intersection,10.95,10.9,0.9953,4.91,-11.09,1.2726,56.65,LANE_SURFACE_STREET,10.6,3.77,True
waymo:training_20s:8713a93abaaa5fa8,waymo,train,intersection,10.82,10.8,0.9986,4.86,11.767,0.7842,17.67,LANE_SURFACE_STREET,10.65,3.79,True
waymo:training_20s:beac7dd5807d387e,waymo,train,merge_or_roundabout,10.39,10.37,0.9981,4.67,-8.771,1.4755,14.54,LANE_SURFACE_STREET,10.21,3.6,True
waymo:training_20s:de0d757b66cf419e,waymo,test,intersection,10.36,10.33,0.9975,4.65,-15.164,1.5028,98.74,LANE_SURFACE_STREET,10.21,3.59,True
waymo:training_20s:347a51a82b0fc0fb,waymo,test,simple,114.4,10.0,0.0874,4.5,22.038,0.0107,10.12,LANE_SURFACE_STREET,114.34,50.45,False
waymo:training_20s:f9474dc53d01af9a,waymo,train,intersection,20.71,10.0,0.4829,4.5,-10.518,0.0125,7.07,LANE_SURFACE_STREET,20.6,8.28,True
waymo:training_20s:674e7c2ee843c21a,waymo,train,simple,10.04,9.99,0.9951,4.49,-12.255,1.5505,108.94,LANE_SURFACE_STREET,9.94,3.47,True
waymo:training_20s:3352da2ecbbabeb0,waymo,train,intersection,84.36,9.0,0.1067,4.05,7.39,0.0411,7.35,LANE_SURFACE_STREET,84.06,36.83,False
waymo:training_20s:5e8534d7c4b5551,waymo,train,intersection,148.16,8.0,0.054,3.6,-11.647,0.1492,11.3,LANE_SURFACE_STREET,148.09,65.64,False
waymo:training_20s:238103fcf089da1a,waymo,test,intersection,82.91,7.0,0.0844,3.15,-5.996,0.0211,4.24,LANE_SURFACE_STREET,82.8,36.26,False
waymo:training_20s:5a34e38acd071ff,waymo,train,intersection,65.72,7.0,0.1065,3.15,-5.257,0.4416,7.2,LANE_SURFACE_STREET,65.54,28.5,False
waymo:training_20s:e58a9c5ef972d825,waymo,train,intersection,21.04,7.0,0.3327,3.15,3.348,0.0998,46.0,LANE_SURFACE_STREET,20.83,8.37,False
waymo:training_20s:1045c02314af50e3,waymo,test,intersection,92.72,6.0,0.0647,2.7,-41.415,0.7597,2.68,LANE_SURFACE_STREET,92.5,40.63,False
waymo:training_20s:b2357d6ec33f9bc2,waymo,train,intersection,168.82,6.0,0.0355,2.7,-4.875,0.3313,9.75,LANE_SURFACE_STREET,168.38,74.77,False
waymo:training_20s:52fcc1dc16c21b56,waymo,train,intersection,195.83,5.0,0.0255,2.25,-6.84,0.097,3.13,LANE_SURFACE_STREET,195.74,87.08,False
waymo:training_20s:93f7e25dd3e5d93e,waymo,test,intersection,90.05,5.0,0.0555,2.25,-12.288,1.8388,10.03,LANE_SURFACE_STREET,89.98,39.49,False
waymo:training_20s:ba99c6e595b1c6de,waymo,train,intersection,40.27,5.0,0.1242,2.25,22.077,0.8255,103.01,LANE_SURFACE_STREET,39.99,16.99,True
waymo:training_20s:e3984908169fe14e,waymo,test,intersection,16.19,5.0,0.3089,2.25,4.251,0.0563,11.18,LANE_SURFACE_STREET,15.74,6.09,False
pg:scenarionet_v1:PGMap-24921495,pg,train,mixed,61.44,4.0,0.0651,1.8,-10.258,0.4917,22.43,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-7920100,pg,train,merge_or_roundabout,357.5,4.0,0.0112,1.8,-3.884,0.0233,10.58,LANE_SURFACE_STREET,231.64,159.82,False
waymo:training_20s:28359ab7e28908ce,waymo,train,simple,57.94,4.0,0.069,1.8,-8.447,1.7751,10.7,LANE_SURFACE_STREET,57.9,25.06,False
waymo:training_20s:91d4de8e81a45901,waymo,train,intersection,15.79,4.0,0.2533,1.8,-8.726,0.1532,5.83,LANE_SURFACE_STREET,15.8,6.43,True
waymo:training_20s:d6bb550c1822d06d,waymo,train,intersection,83.53,4.0,0.0479,1.8,5.755,0.0192,12.15,LANE_SURFACE_STREET,83.31,36.49,False
pg:scenarionet_v1:PGMap-19920209,pg,train,intersection,225.82,3.0,0.0133,1.35,-10.342,0.7526,28.71,LANE_SURFACE_UNSTRUCTURE,189.54,100.19,False
pg:scenarionet_v1:PGMap-24921672,pg,train,mixed,176.65,3.0,0.017,1.35,22.571,1.135,11.85,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-4920204,pg,train,mixed,64.09,3.0,0.0468,1.35,-10.094,1.2088,28.7,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
waymo:training_20s:4a01907e6659ab68,waymo,validation,intersection,28.52,3.0,0.1052,1.35,-15.62,0.1515,16.94,LANE_SURFACE_STREET,28.13,11.66,True
waymo:training_20s:df1065effe5f3fc1,waymo,train,intersection,26.14,3.0,0.1148,1.35,-7.529,0.0106,7.24,LANE_SURFACE_STREET,25.91,10.68,False
waymo:training_20s:e62cac85032e27ae,waymo,train,intersection,52.36,3.0,0.0573,1.35,22.152,1.108,25.83,LANE_SURFACE_STREET,52.19,22.49,False
pg:scenarionet_v1:PGMap-14920215,pg,train,mixed,56.94,2.0,0.0351,0.9,-9.71,0.0127,14.32,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14920882,pg,test,mixed,186.0,2.0,0.0108,0.9,-13.388,0.2556,27.8,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14921064,pg,train,intersection,269.13,2.0,0.0074,0.9,-8.932,0.4179,10.44,LANE_SURFACE_UNSTRUCTURE,155.66,119.64,False
pg:scenarionet_v1:PGMap-19921300,pg,train,mixed,66.55,2.0,0.0301,0.9,-16.446,0.6698,12.99,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24920079,pg,train,mixed,138.97,2.0,0.0144,0.9,-11.659,1.2196,32.32,LANE_SURFACE_UNSTRUCTURE,123.42,61.36,False
pg:scenarionet_v1:PGMap-24920666,pg,test,intersection,125.16,2.0,0.016,0.9,-9.546,0.0173,31.9,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920115,pg,train,intersection,151.88,2.0,0.0132,0.9,-11.949,0.8514,63.6,LANE_SURFACE_UNSTRUCTURE,129.49,66.97,False
pg:scenarionet_v1:PGMap-3920265,pg,train,intersection,63.1,2.0,0.0317,0.9,-11.322,1.5508,27.66,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-4920111,pg,train,mixed,186.23,2.0,0.0107,0.9,-13.305,0.8913,23.45,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-5000070,pg,test,intersection,66.41,2.0,0.0301,0.9,-12.263,0.4759,34.68,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
waymo:training_20s:32b2c2cffb36fa8,waymo,train,intersection,115.32,2.0,0.0173,0.9,-8.875,0.8867,11.73,LANE_SURFACE_STREET,114.68,50.64,False
waymo:training_20s:5c7a350ec87f2c7c,waymo,train,intersection,85.64,2.0,0.0234,0.9,-8.743,0.03,6.08,LANE_SURFACE_STREET,85.19,37.38,False
waymo:training_20s:6bf3047c91daa872,waymo,train,intersection,132.55,2.0,0.0151,0.9,34.147,0.9279,13.8,LANE_SURFACE_STREET,132.43,58.6,False
waymo:training_20s:773833134ed164dc,waymo,train,intersection,58.43,2.0,0.0342,0.9,-13.036,0.0192,24.2,LANE_SURFACE_STREET,57.9,25.05,False
waymo:training_20s:8a61539920e12ba1,waymo,train,intersection,109.68,2.0,0.0182,0.9,5.023,0.017,6.15,LANE_SURFACE_STREET,109.21,48.16,False
waymo:training_20s:a244c5cf3ee04f5a,waymo,test,intersection,98.82,2.0,0.0202,0.9,-5.885,0.8391,6.41,LANE_SURFACE_STREET,98.73,43.43,False
waymo:training_20s:bcfba23117b7c7cf,waymo,test,intersection,30.84,2.0,0.0648,0.9,18.66,0.4334,9.34,LANE_SURFACE_STREET,30.47,12.71,True
pg:scenarionet_v1:PGMap-13920156,pg,train,intersection,56.32,1.0,0.0178,0.45,-8.637,0.0107,29.15,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14920593,pg,train,mixed,268.54,1.0,0.0037,0.45,-7.893,0.846,21.92,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14920624,pg,train,mixed,185.17,1.0,0.0054,0.45,-11.942,0.0274,15.2,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19920399,pg,train,intersection,63.55,1.0,0.0157,0.45,-12.434,0.7723,30.88,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19921150,pg,train,merge_or_roundabout,48.77,1.0,0.0205,0.45,17.947,0.0301,14.82,LANE_SURFACE_STREET,47.43,20.41,False
pg:scenarionet_v1:PGMap-19921512,pg,train,merge_or_roundabout,46.89,1.0,0.0213,0.45,-3.447,0.0119,6.87,LANE_SURFACE_STREET,45.87,19.64,False
pg:scenarionet_v1:PGMap-24920039,pg,train,mixed,59.67,1.0,0.0168,0.45,-8.591,1.2029,23.51,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24920094,pg,train,mixed,56.78,1.0,0.0176,0.45,-13.806,0.019,18.04,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24920366,pg,train,mixed,58.75,1.0,0.017,0.45,-7.484,0.016,20.73,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921285,pg,train,mixed,214.11,1.0,0.0047,0.45,-7.925,0.4578,28.47,LANE_SURFACE_UNSTRUCTURE,156.27,94.86,False
pg:scenarionet_v1:PGMap-3920184,pg,train,intersection,55.17,1.0,0.0181,0.45,-7.891,0.0103,13.29,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-3920348,pg,train,intersection,56.44,1.0,0.0177,0.45,-8.681,0.0191,29.77,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-4920093,pg,test,mixed,47.11,1.0,0.0212,0.45,-4.704,0.0126,3.12,LANE_SURFACE_STREET,46.1,19.75,False
pg:scenarionet_v1:PGMap-5000429,pg,validation,intersection,64.29,1.0,0.0156,0.45,-16.171,0.5555,11.72,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-6000309,pg,train,mixed,60.19,1.0,0.0166,0.45,-8.719,1.4187,24.28,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-9920214,pg,train,mixed,61.12,1.0,0.0164,0.45,-13.444,1.3428,26.08,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-9920433,pg,train,mixed,62.85,1.0,0.0159,0.45,-11.965,1.4541,29.01,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
waymo:training_20s:1a57a7a789294d1b,waymo,train,intersection,43.22,1.0,0.0231,0.45,17.234,0.7918,12.33,LANE_SURFACE_STREET,43.06,18.38,False
waymo:training_20s:4f20919aca2749f3,waymo,train,intersection,21.89,1.0,0.0457,0.45,-12.315,0.1554,6.98,LANE_SURFACE_STREET,21.8,8.81,True
waymo:training_20s:9473dddf2dfa0325,waymo,validation,intersection,120.2,1.0,0.0083,0.45,-5.14,0.95,10.42,LANE_SURFACE_STREET,119.84,52.93,False
waymo:training_20s:c7481d80b0319fcc,waymo,train,intersection,13.78,1.0,0.0726,0.45,-9.034,0.0139,3.86,LANE_SURFACE_STREET,14.01,5.39,True
pg:scenarionet_v1:PGMap-13920259,pg,test,intersection,65.8,0.0,0.0,0.0,-7.556,0.0121,9.62,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-13920285,pg,train,intersection,199.28,0.0,0.0,0.0,-7.125,1.3901,22.21,LANE_SURFACE_UNSTRUCTURE,149.62,88.22,False
pg:scenarionet_v1:PGMap-14920065,pg,train,mixed,69.78,0.0,0.0,0.0,-12.789,0.0152,38.36,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14920120,pg,train,intersection,62.89,0.0,0.0,0.0,-6.967,0.8492,25.78,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14920532,pg,train,intersection,60.51,0.0,0.0,0.0,22.234,0.0101,34.66,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-14920892,pg,train,mixed,145.03,0.0,0.0,0.0,20.426,0.0193,27.56,LANE_SURFACE_UNSTRUCTURE,125.1,63.61,False
pg:scenarionet_v1:PGMap-14920909,pg,train,mixed,187.57,0.0,0.0,0.0,4.338,0.0124,4.3,LANE_SURFACE_STREET,170.11,82.96,False
pg:scenarionet_v1:PGMap-19920065,pg,train,mixed,104.11,0.0,0.0,0.0,-15.179,0.4323,33.77,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19920092,pg,train,mixed,49.68,0.0,0.0,0.0,8.706,0.0152,10.26,LANE_SURFACE_STREET,48.47,20.86,False
pg:scenarionet_v1:PGMap-19920321,pg,train,mixed,246.75,0.0,0.0,0.0,-12.165,0.0138,14.89,LANE_SURFACE_UNSTRUCTURE,168.68,109.6,False
pg:scenarionet_v1:PGMap-19920561,pg,train,mixed,56.48,0.0,0.0,0.0,-12.941,0.0389,12.72,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19920612,pg,train,intersection,206.89,0.0,0.0,0.0,-11.832,1.2052,13.34,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19920766,pg,train,merge_or_roundabout,47.38,0.0,0.0,0.0,-3.112,0.0172,12.78,LANE_SURFACE_STREET,46.31,19.85,False
pg:scenarionet_v1:PGMap-19920906,pg,test,mixed,60.1,0.0,0.0,0.0,-11.787,1.2489,8.62,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19921152,pg,train,mixed,58.5,0.0,0.0,0.0,21.777,0.0114,31.77,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19921277,pg,train,mixed,62.26,0.0,0.0,0.0,-10.643,0.2957,10.78,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19921546,pg,test,mixed,196.66,0.0,0.0,0.0,-11.93,1.2901,34.71,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-19921647,pg,train,mixed,162.68,0.0,0.0,0.0,20.548,0.0101,13.57,LANE_SURFACE_STREET,131.89,71.74,False
pg:scenarionet_v1:PGMap-24920044,pg,train,mixed,124.32,0.0,0.0,0.0,-13.602,0.0106,30.44,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24920178,pg,train,mixed,58.86,0.0,0.0,0.0,-8.47,0.0178,31.76,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24920247,pg,train,mixed,156.82,0.0,0.0,0.0,-13.623,0.0244,13.98,LANE_SURFACE_UNSTRUCTURE,131.76,68.89,False
pg:scenarionet_v1:PGMap-24920342,pg,test,merge_or_roundabout,47.28,0.0,0.0,0.0,-3.66,0.0189,14.23,LANE_SURFACE_STREET,46.22,19.81,False
pg:scenarionet_v1:PGMap-24920415,pg,train,mixed,60.49,0.0,0.0,0.0,21.597,0.0152,33.9,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921172,pg,train,intersection,66.47,0.0,0.0,0.0,-13.95,0.0126,31.29,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921249,pg,train,intersection,54.69,0.0,0.0,0.0,-11.831,0.0114,11.09,LANE_SURFACE_UNSTRUCTURE,53.44,23.15,False
pg:scenarionet_v1:PGMap-24921331,pg,train,mixed,58.59,0.0,0.0,0.0,-10.704,0.7074,23.85,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921340,pg,train,mixed,59.25,0.0,0.0,0.0,-14.948,0.0196,33.49,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921601,pg,train,merge_or_roundabout,49.7,0.0,0.0,0.0,8.47,0.0142,9.86,LANE_SURFACE_STREET,48.48,20.87,False
pg:scenarionet_v1:PGMap-24921644,pg,train,mixed,62.03,0.0,0.0,0.0,-10.993,1.7879,9.9,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921661,pg,train,merge_or_roundabout,95.84,0.0,0.0,0.0,11.779,0.1373,6.02,LANE_SURFACE_STREET,94.44,41.57,False
pg:scenarionet_v1:PGMap-24921666,pg,train,mixed,60.23,0.0,0.0,0.0,-16.188,0.012,36.45,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-24921717,pg,train,merge_or_roundabout,243.96,0.0,0.0,0.0,-3.624,0.022,10.8,LANE_SURFACE_STREET,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920330,pg,train,intersection,62.4,0.0,0.0,0.0,-10.572,0.1947,31.12,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920451,pg,train,mixed,110.86,0.0,0.0,0.0,-12.608,0.0257,34.05,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920464,pg,train,intersection,60.87,0.0,0.0,0.0,27.197,0.0325,36.39,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920522,pg,train,mixed,61.19,0.0,0.0,0.0,-6.732,0.5984,28.54,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920540,pg,train,mixed,58.21,0.0,0.0,0.0,-13.634,0.0147,30.62,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29920728,pg,train,mixed,305.78,0.0,0.0,0.0,9.304,0.0222,10.02,LANE_SURFACE_STREET,199.45,136.1,False
pg:scenarionet_v1:PGMap-29921034,pg,train,intersection,60.0,0.0,0.0,0.0,22.698,0.0607,36.41,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-29921485,pg,test,mixed,51.77,0.0,0.0,0.0,10.982,0.0159,15.64,LANE_SURFACE_STREET,50.55,21.83,False
pg:scenarionet_v1:PGMap-3920015,pg,train,intersection,123.41,0.0,0.0,0.0,-18.322,0.0307,39.51,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-4920060,pg,train,merge_or_roundabout,192.18,0.0,0.0,0.0,8.549,1.5695,4.04,LANE_SURFACE_STREET,190.99,85.01,False
pg:scenarionet_v1:PGMap-4920105,pg,train,mixed,60.88,0.0,0.0,0.0,-7.101,0.9351,27.69,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-4920187,pg,train,merge_or_roundabout,46.03,0.0,0.0,0.0,-3.363,0.0139,3.39,LANE_SURFACE_STREET,45.02,19.26,False
pg:scenarionet_v1:PGMap-5000038,pg,train,intersection,55.92,0.0,0.0,0.0,-11.928,0.019,14.12,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-5000137,pg,test,intersection,64.71,0.0,0.0,0.0,-12.098,1.5919,34.51,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-5000141,pg,test,intersection,65.05,0.0,0.0,0.0,-11.726,1.0093,35.56,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-5000312,pg,train,intersection,59.62,0.0,0.0,0.0,-15.437,0.0111,14.81,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-5000398,pg,validation,intersection,63.59,0.0,0.0,0.0,-11.415,1.0346,32.71,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-5000441,pg,train,intersection,62.08,0.0,0.0,0.0,-14.033,1.1305,10.24,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-6000124,pg,train,mixed,59.83,0.0,0.0,0.0,-16.178,0.0148,35.55,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-6000175,pg,test,merge_or_roundabout,277.11,0.0,0.0,0.0,7.05,0.561,4.5,LANE_SURFACE_STREET,187.2,123.64,False
pg:scenarionet_v1:PGMap-6000213,pg,train,mixed,184.78,0.0,0.0,0.0,24.813,0.0118,33.87,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-6000371,pg,validation,intersection,58.94,0.0,0.0,0.0,-14.583,0.0105,33.14,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-8920265,pg,train,intersection,59.08,0.0,0.0,0.0,-7.359,1.4163,24.08,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
pg:scenarionet_v1:PGMap-9920377,pg,train,intersection,133.9,0.0,0.0,0.0,-13.884,0.8571,10.19,LANE_SURFACE_UNSTRUCTURE,0.0,-1.0,True
waymo:training_20s:10555184941e6da0,waymo,train,intersection,71.64,0.0,0.0,0.0,9.21,1.6714,8.52,LANE_SURFACE_STREET,65.42,31.31,False
waymo:training_20s:293f646676e9f183,waymo,train,intersection,74.79,0.0,0.0,0.0,7.377,0.1808,6.98,LANE_SURFACE_STREET,71.17,32.62,False
waymo:training_20s:489e04bbb352147a,waymo,test,intersection,36.05,0.0,0.0,0.0,-7.368,0.9035,32.91,LANE_SURFACE_STREET,35.73,15.08,False
waymo:training_20s:70ce8963e5d240e7,waymo,train,intersection,44.72,0.0,0.0,0.0,-11.125,0.4805,34.56,LANE_SURFACE_STREET,44.23,18.91,False
waymo:training_20s:8d3d6365ca47a4e5,waymo,train,intersection,26.74,0.0,0.0,0.0,-10.31,0.1493,10.89,LANE_SURFACE_STREET,26.49,10.92,False
waymo:training_20s:c31bb61be6827323,waymo,test,intersection,84.7,0.0,0.0,0.0,7.695,0.9353,3.76,LANE_SURFACE_STREET,84.21,36.92,False
waymo:training_20s:d1943e0e579545c4,waymo,train,intersection,42.2,0.0,0.0,0.0,3.182,0.3401,6.8,LANE_SURFACE_STREET,41.95,17.88,False
